USDOT,Company Name,Operating status,DBA,Entity type,Operations,Classification,Docket #,DUNS #,SCAC,MCS-150 form date,MCS-150 Mileage/Year,Business address,Phone,Fax,Email,Web,Mailing address,Representative,Power units,Autonomous units,Electric units,Drivers,SmartWay,CARB TRU
803,NICHOLS ALUMINUM,ACTIVE,,Shipper,,,,005101514,,03/09/2010,,"200 SCHELTER RD PRAIRIE VIEW, IL 60069-3604",(847) 634-3150,,,,"P O BOX 1401 PRAIRIE VIEW, IL 60069-1401",PAUL R WEBER,,,,,Not a,Not 100% compliant
1007,"PORTER TRUCK SERVICE, INC.",NONE,,,,,MC32213 MC146757,,,,,2808 W. 6TH STREET SIOUX FALLS SD 57104,,,,,,,,,,,Not a,Not 100% compliant
1011,EDWARD J. NESTOR AND JAMES D. NESTOR,NONE,POWDER RIVER BUS LINES,,,,MC109742,,,,,1723 7TH AVE. BELLE FOURCHE SD 57717,,,,,,,,,,,Not a,Not 100% compliant
1013,"PRAIRIE FARMS, INC.",NONE,,,,,MC185644,,,,,"BOX 41, R.R.3 DALLAS SD 57529",(605) 835-8917,,,,,,,,,,Not a,Not 100% compliant
1023,ROBERT VANDERHEIDEN AND RONALD VANDERHEIDEN,NONE,R & R TRUCKING,,,,MC108383,,,,,BOX 31 PLATTE SD 57369,(605) 337-3888,,,,,,,,,,Not a,Not 100% compliant
1024,"R & S TRUCKING,INC.",NONE,,,,,MC145978,,,,,3421 HOVELAND AVE. SIOUX FALLS SD 57107,(605) 332-0861,,,,,,,,,,Not a,Not 100% compliant
1037,ROY W. & CARMEN HUNT,NONE,ROY W. HUNT TRUCKING,,,,MC193517,,,,,515 SOUTH 1840 WWEST CEDAR CITY UT 84720,(801) 586-9638,,,,,,,,,,Not a,Not 100% compliant
1047,TALMADGE C. GRAY,NONE,,,,,MC136513,,,,,P. O. BOX 233 MILFORD UT 84751,,,,,,,,,,,Not a,Not 100% compliant
1050,ROBERT H. SKINNER AND JANET L. SKINNER,NONE,SALLY SLY TOUR ASSN.,,,,MC129098,,,,,"39 LAKE POWELL BLVD., P.O. BOX 1108 PAGE AZ 86040",(602) 645-2019,,,,P.O. BOX 2231 PAGE AZ 86040,,,,,,Not a,Not 100% compliant
1067,"K.B. TRANSKPORTATION, INC.",NONE,,,,,MC136731,,,,,2185 WALL AVENUE OGDEN UT 84402,,,,,,,,,,,Not a,Not 100% compliant
1073,"KELLERSTRASS, ERNEST",NONE,,,,,MC25190,,,,,4984 S. 1700 W. OGDEN UT 84403,,,,,,,,,,,Not a,Not 100% compliant
1079,LAKE CRYSTAL TRANSPORTATION COMPANY,NONE,,,,,MC136961,,,,,P. O. BOX 1149 OGDEN UT 84402,,,,,,,,,,,Not a,Not 100% compliant
1123,WILLIAM L. EMMEL,NONE,NOYCE TRANSFER COMPANY,,,,MC120529,,,,,736 WEST 300 SOUTH SALT LAKE CITY UT 84104,,,,,,,,,,,Not a,Not 100% compliant
1173,WHAN CONSTRUCTION CO.,NONE,,,,,MC179950,,,,,40185 LODGE ROAD LEETONIA OH 44431,(216) 424-9595,,,,,,,,,,Not a,Not 100% compliant
1186,TAVENS TRANSPORTATION CORPORATION,NONE,,,,,MC185483,,,,,24665 GREENWICH LANE CLEVELAND OH 44122,(216) 232-6776,,,,,,,,,,Not a,Not 100% compliant
1245,WITMER'S INC,ACTIVE,WITMER'S CONSTRUCTION,Carrier,Interstate,Private Property,,,,03/04/2020,"1,600 (2019)","39821 SALEM UNITY RD SALEM, OH 44460-9696",(330) 427-2611,(888) 427-2150,hhildreth@witmersinc.com,,"39821 SALEM UNITY RD SALEM, OH 44460-9696",NELSON J. WITMER GRACE STYER,,,,1,Not a,Not 100% compliant
1271,JIE YUN INC,NONE,,,,,MC506813,,,,,3146 CHAMBLEE DUNWOODY ROAD STE 209 CHAMBLEE GA 30341,(770) 455-7316,,,,3146 CHAMBLEE DUNWOODY ROAD STE 209 CHAMBLEE GA 30341,,,,,,Not a,Not 100% compliant
1279,"DAUBERT TRUCK LINE, INC.",NONE,,,,,MC304786,,,,,EAST HWY 56 SUBLETTE KS 67877,(316) 675-2214,,,,P. O. BOX 728 SUBLETTE KS 67877,,,,,,Not a,Not 100% compliant
1291,WESTERN BATTERY TRUCKING,NONE,,,,,MC145006,,,,,32 EAST 1300 SOUTH SALT LAKE CITY UT 84115,,,,,,,,,,,Not a,Not 100% compliant
1300,WESTERNER'S INC.,NONE,,,,,MC129116,,,,,585 W. 33RD SOUTH. SALT LAKE CITY UT 84101,,,,,,,,,,,Not a,Not 100% compliant
1310,"HALES SAND AND GRAVEL, INC.",NONE,HALES BROS TRUCKING,,,,MC220833,,,,,408 WEST 100 SOUTH REDMOND UT 84652,(801) 529-7434,,,,,,,,,,Not a,Not 100% compliant
1357,"RICHTER GRAIN COMPANY, INC.",NONE,,,,,MC170227,,,,,P. O. BOX 42 ORTLEY SD 57256,(605) 398-6107,,,,,,,,,,Not a,Not 100% compliant
1364,"BROWN EXPRESS, MOVING & STORAGE, INC.",NONE,,,,,MC97323,,,,,603 BOURBON STREET BLANCHESTER OH 45107,,,,,,,,,,,Not a,Not 100% compliant
1376,ATOMIC TRANSPORT INCORPORATED,NONE,,,,,MC165351,,,,,2070 LOGAN AVENUE WINNIPEG MB R2R 0H9,(204) 633-9320,,,,P. O. BOX 1045 WINNIPEG MB R3C 2X6,,,,,,Not a,Not 100% compliant
1415,GREG SCHAAF,NONE,GREG SCHAAF TRUCKING,,,,MC208850,,,,,902 SECOND STREET BRITTON SD 57430,(605) 448-2455,,,,PO BOX 173 BRITTON SD 57430-0173,,,,,,Not a,Not 100% compliant
1419,SIDNEY SCHAIBLE,NONE,SCHAIBLE TRUCKING,,,,MC231721,,,,,1348 MASON STREET LEOLA SD 57456,(605) 439-3419,(605) 439-3586,,,,,,,,,Not a,Not 100% compliant
1425,JOHN C. SCHIEFELBEIN,NONE,,,,,MC179143,,,,,313 N CRESCENT FLANDREAU SD 57028-1202,(605) 997-3287,,,,,,,,,,Not a,Not 100% compliant
1450,SCOTLAND TRUCKING CO.,NONE,,,,,MC27858,,,,,NOT KNOWN SCOTLAND SD 57059,,,,,,,,,,,Not a,Not 100% compliant
1457,RICHARD LEWIS SEIVERT,NONE,DICK SEIVERT'S GARAGE,,,,MC124285,,,,,210 NORTH FAIRFAX SIOUX FALLS SD 57102,,,,,,,,,,,Not a,Not 100% compliant
1478,"SHOEMAKER GRAIN CO., INC.",NONE,,,,,MC253457,,,,,HCR 64 BOX 30 BELLE FOURCHE SD 57717,(605) 892-3620,,,,,,,,,,Not a,Not 100% compliant
1492,"ATLANTA PROVISION COMPANY, INC.",NONE,,,,,MC219311,,,,,1400 WEST MARIETTA STREET ATLANTA GA 30318,(404) 799-0099,,,,,,,,,,Not a,Not 100% compliant
1546,"NORMAN D. LIFTON CO., INC.",NONE,,,,,MC301415,,,,,15 WELLS AVENUE YONKERS NY 10701,(914) 376-3000,,,,315 EAST 3RD STREET MOUNT VERNON NY 10553,,,,,,Not a,Not 100% compliant
1576,"EMERY TRUCKING, INC.",NONE,,,,,MC204019,,,,,P. O. BOX 736 MARTINSBURG WV 25401,(304) 274-2501,,,,,,,,,,Not a,Not 100% compliant
1579,"EXPLOSIVES, INC.",NONE,,,,,MC203198,,,,,PO BOX 2328 CLARKSBURG WV 26301,(304) 842-6231,,,,PO BOX 2328 CLARKSBURG WV 26301-2328,,,,,,Not a,Not 100% compliant
1599,"B & M TRANSFER, INC.",NONE,,,,,MC153795,,,,,"ROUTE 1, BOX 1 GENEVA NE 68361",(402) 759-3733,,,,,,,,,,Not a,Not 100% compliant
1632,"NELSON, HAROLD L.",NONE,,,,,MC117501,,,,,1109 ALDRICH BOONE IA 50036,,,,,,,,,,,Not a,Not 100% compliant
1633,"OCKENFEL'S TRANSFER, INC.",NONE,,,,,MC134264,,,,,917 S. CLINTON ST IOWA CITY IA 52240,,,,,,,,,,,Not a,Not 100% compliant
1651,LOREN F. DARLING,NONE,NORTHEAST MOTOR EXPRESS,,,,MC120572,,,,,1424 GLENNY STREET WATERLOO IA 50702,(319) 232-1099,,,,,,,,,,Not a,Not 100% compliant
1657,B. J. O'BRIEN,NONE,,,,,MC136292,,,,,1602-3RD AVENUE NORTH FORT DODGE IA 50501,,,,,,,,,,,Not a,Not 100% compliant
1683,"PENALUNA TRANSFER, INC.",NONE,,,,,MC178934,,,,,"P.O. BOX 722, R.R.3 IOWA FALLS IA 50126",(515) 648-9189,,,,,,,,,,Not a,Not 100% compliant
1691,DON H. PHIPPS,NONE,REFRIGERATED TRANSPORT,,,,MC151814,,,,,3707 CALHOUN AVENUE AMES IA 50010,,,,,,,,,,,Not a,Not 100% compliant
1694,"PIGGY-BACK CARTAGE CO., INC.",NONE,,,,,MC133695,,,,,1518 GARST STREET BOONE IA 50036,,,,,,,,,,,Not a,Not 100% compliant
1695,PLAGGE TRUCK LINE INC,NONE,,,,,MC105424,,,,,251-18TH STREET S E MASON CITY IA 50401,(515) 423-3915,,,,,,,,,,Not a,Not 100% compliant
1696,CLARENCE PLATTE,NONE,PLATTE TRUCK LINE,,,,MC82345,,,,,NOT KNOWN DENVER IA 50622,,,,,,,,,,,Not a,Not 100% compliant
1704,ROBERT E. PLETCHER,NONE,PLETCHER TRANSFER & STORAGE,,,,MC114647,,,,,HIGHWAY 69 SOUTH FOREST CITY IA 50436,,,,,"R. R. 4, BOX 4 FOREST CITY IA 50436",,,,,,Not a,Not 100% compliant
1717,P. J. QUIGLEY,NONE,,,,,MC138759,,,,,RR #2 BOX 201 BELMOND IA 50421,,,,,,,,,,,Not a,Not 100% compliant
1727,"REUTER, STEVEN C.",NONE,"REUTER FREIGHT LINE, CARL",,,,MC1628,,,,,712 WEST 3RD. SUMNER IA 50674,,,,,,,,,,,Not a,Not 100% compliant
1743,ROSE TRUCKING COMPANY,NONE,,,,,MC124099,,,,,821 WEST 4TH STREET WATERLOO IA 50702,,,,,,,,,,,Not a,Not 100% compliant
1746,ROWLEY INTERSTATE TRANSP CO INC,NONE,,,,,MC147718 MC114028,,,,,2010 KERPER BLVD DUBUQUE IA 52001,,,,,,,,,,,Not a,Not 100% compliant
1748,EARL J. RUCKDASHEL,NONE,"RUCKDASHEL TRUCKING, EARL J.",,,,MC140655,,,,,265 EAST GREENE POSTVILLE IA 52162,,,,,,,,,,,Not a,Not 100% compliant
1765,"A.W. SCHMIDT TRANSFER, INC.",NONE,,,,,MC92309,,,,,1824 16TH AVE SW CEDAR RAPIDS IA 52406,(319) 362-7991,(319) 362-5950,,,,,,,,,Not a,Not 100% compliant
1767,0. E. SCHMIDT INC.,NONE,,,,,MC255256,,,,,6930 N.E. 56TH STREET ALTOONA IA 50009,(515) 967-2825,,,,,,,,,,Not a,Not 100% compliant
1770,"M. D. SCHMITT TRANSPORT, INC.",NONE,,,,,MC139140,,,,,"HIGHWAY 20 WEST, P. O. BOX 793 INDEPENDENCE IA 50644",,,,,,,,,,,Not a,Not 100% compliant
1772,GERALD SCHNEIDER,NONE,,,,,MC123011 MC140162,,,,,RFD 1 POSTVILLE IA 52162,(319) 864-7216,,,,,,,,,,Not a,Not 100% compliant
1784,SECO TRUCKING CO.,NONE,,,,,MC105678 MC127022,,,,,PO BOX 340 CAPTIVA FL 33924,,,,,,,,,,,Not a,Not 100% compliant
1793,"SHIPPERS SERVICE, INC.",NONE,,,,,MC113584,,,,,RT. 1 CHARLES CITY IA 50616,,,,,,,,,,,Not a,Not 100% compliant
1794,ED FIELD AND RICHARD SHEIMO,NONE,FIELD AND SHEIMO,,,,MC106083,,,,,NOT KNOWN HANLONTOWN IA 50444,,,,,,,,,,,Not a,Not 100% compliant
1803,"SMITHWAY MOTOR XPRESS, INC.",NONE,,,,,MC66955 MC138627,,,,,RT #4 PO BOX 404 FT. DODGE IA 50501,,,,,,,,,,,Not a,Not 100% compliant
1806,CARROLL SPANGLER,NONE,SPANGLER TRUCK LINE,,,,MC84596,,,,,RFD 2 EAGLE GROVE IA 50533,,,,,,,,,,,Not a,Not 100% compliant
1810,SPERRY TRANSPORTATION COMPANY,NONE,,,,,MC125721,,,,,P. O. BOX 447 CHARLES CITY IA 50616,,,,,,,,,,,Not a,Not 100% compliant
1816,"STANDLEY TRANSFER & STORAGE CO., INC.",NONE,,,,,MC26166,,,,,1018 STORY ST. BOONE IA 50036,,,,,,,,,,,Not a,Not 100% compliant
1817,ROBERT ULRICHS,NONE,ULRICHS TRUCKING,,,,MC385745,,,,,2854 MARCH AVE GREENE IA 50636,(641) 330-4147,,,,,,,,,,Not a,Not 100% compliant
1824,"STOCKBERGER TRANSFER & STORAGE, INC.",NONE,,,,,MC13087,,,,,"524 2ND STREET, SOUTHWEST MASON CITY IA 50401",(515) 424-1531,,,,,,,,,,Not a,Not 100% compliant
1834,TAKIN BROS FREIGHT LINE INC,NONE,,,,,MC22278,,,,,4616 E. 67TH STREET TULSA OK 74121,(918) 234-7200,,,,,,,,,,Not a,Not 100% compliant
1835,"TALLYHO TRANSPORT, INC.",NONE,,,,,MC126556 MC123185,,,,,307 WEST MAIN STREET MARSHALLTOWN IA 50158,,,,,,,,,,,Not a,Not 100% compliant
1850,BETTY A. THOMPSON,NONE,THOMPSON MOTOR FREIGHT,,,,MC40994,,,,,666 12TH ST. SE MASON CITY IA 50401,,,,,,,,,,,Not a,Not 100% compliant
1862,"TRIPLE ""D"" CARTAGE, INC.",NONE,,,,,MC129594,,,,,1004 11TH ST. N. E. MASON CITY IA 50401,,,,,,,,,,,Not a,Not 100% compliant
1863,TYLER TRUCK LINES,NONE,,,,,MC123878,,,,,BOX 206 KELLEY IA 50134,,,,,,,,,,,Not a,Not 100% compliant
1868,UMTHUN TRUCKING CO.,NONE,,,,,MC118468 MC124813,,,,,910 SOUTH JACKSON STREET EAGLE GROVE IA 50533,,,,,,,,,,,Not a,Not 100% compliant
1877,H. CARROLL VAN HOVE,NONE,,,,,MC136569,,,,,P.O. BOX 416 BUFFALO CENTER IA 50424,,,,,,,,,,,Not a,Not 100% compliant
1886,HAROLD E. VOKOUN,NONE,VOKOUN TRUCKING,,,,MC142042,,,,,ROUTE 3 DUNKERTON IA 50626,,,,,,,,,,,Not a,Not 100% compliant
1893,WALSER MOVERS INC,NONE,,,,,MC43327,,,,,525 EAST 19TH STREET DUBUQUE IA 52001,,,,,,,,,,,Not a,Not 100% compliant
1907,THE WEST BROS. CORP.,NONE,,,,,MC142341,,,,,P.O. BOX 645 MELBOURNE IA 50162,,,,,,,,,,,Not a,Not 100% compliant
1909,WEST UNION FREIGHT LINE,NONE,,,,,MC98673,,,,,907 CUTLER ST. WATERLOO IA 50703,,,,,,,,,,,Not a,Not 100% compliant
1922,S. T. WICKLIFF,NONE,,,,,MC129390,,,,,1302 E. NORTH STREET ALGONA IA 50511,,,,,,,,,,,Not a,Not 100% compliant
1935,LARRY C. WOLFF,NONE,WOLFF TRANSPORTATION CO.,,,,MC93143,,,,,3120 JACKSON STREET DUBUQUE IA 52001,,,,,,,,,,,Not a,Not 100% compliant
1944,WILLIAM & GEORGE ANNAN,NONE,ANNAN BROS.,,,,MC23883,,,,,RR COIN IA 51636,(712) 583-3457,,,,,,,,,,Not a,Not 100% compliant
1952,ANCONA BROS. CO.,NONE,,,,,MC232451,,,,,"9320 ""J"" STREET OMAHA NE 68127",(402) 331-4900,,,,,,,,,,Not a,Not 100% compliant
