USDOT,Company Name,Operating status,DBA,Entity type,Operations,Classification,Docket #,DUNS #,SCAC,MCS-150 form date,MCS-150 Mileage/Year,Business address,Phone,Fax,Email,Web,Mailing address,Representative,Power units,Autonomous units,Electric units,Drivers,SmartWay,CARB TRU
43633,THE NOEL CORPORATION,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Exempt For Hire Private Property,MC147371,43025212,,03/06/2019,"1,138,236 (2018)","1001 S FIRST STREET YAKIMA, WA 98901-3409",(509) 248-4545,(509) 453-9891,jperkins@noelcorp.com,www.noelcorp.com,"PO BOX 111 YAKIMA, WA 98907-0111",RODGER D NOEL JUSTIN J NOEL,101,,,134,Not a,Not 100% compliant
66158,JOURNEY GROUP COMPANIES,ACTIVE,,Carrier,Interstate,Private Property,,4825691,,08/07/2019,"835,000 (2016)","4500 WEST 58TH STREEET SIOUX FALLS, SD 57108",(605) 332-5968,(605) 274-2832,colson@journeyconstruction.com,,"PO BOX 2728 SIOUX FALLS, SD 57101-1921",RANDY KNECHT,101,,,175,Not a,Not 100% compliant
163596,INTERNATIONAL LIMOUSINE SERVICE INC,AUTHORIZED FOR PASSENGER,,Carrier,Interstate,Authorized For Hire,MC144523 MC173561,72650658,,01/06/2020,"1,848,372 (2018)","2300 T STREET NE WASHINGTON, DC 20002-1938",(301) 798-5823,(301) 798-5823,twright@internationallimo.com,,"2300 T STREET NE WASHINGTON, DC 20002-1938",TINA WRIGHT,101,,,104,Not a,Not 100% compliant
229057,CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,ACTIVE,DESERET INDUSTRIES,Carrier,Interstate,Private Property,,604248021,,06/23/2020,"1,842,532 (2018)","5405 WEST 300 SOUTH SALT LAKE CITY, UT 84104-5342",(801) 240-6348,(801) 240-1595,robertsse@ldschurch.org,,"5405 WEST 300 SOUTH SALT LAKE CITY, UT 84104",STEVEN E ROBERTS DAVID TOONE,101,,,346,Not a,Not 100% compliant
237345,OFFEN PETROLEUM LLC,AUTHORIZED FOR PROPERTY,,Carrier Shipper,Interstate,Authorized For Hire Private Property,MC562383,618577084,,03/27/2020,"7,140,718 (2019)","5100 E 78TH AVE COMMERCE CITY, CO 80022",(303) 297-3835,(303) 297-0541,rknapke@offenpetro.com,,"5100 E 78TH AVE COMMERCE CITY, CO 80022",BILL GALLAGHER,101,,,132,Not a,Not 100% compliant
241528,SPAHN & ROSE LUMBER CO,ACTIVE,,Carrier,Interstate,Private Property,,6941579,,04/20/2020,"220,100 (2019)","2175 SOUTHPARK CT DUBUQUE, IA 52003",(563) 583-6481,(563) 582-3749,kfunke@spahnandrose.com,,"P O BOX 149 DUBUQUE, IA 52004",DAVE DAVIS BROCK EVEN,101,,,124,Not a,Not 100% compliant
272638,C A HULL CO INC,ACTIVE,,Carrier Shipper,Interstate,Private Property,,,,07/15/2019,"550,000 (2018)","8177 GOLDIE RD WALLED LAKE, MI 48390",(248) 363-3813,(248) 694-8024,jbuckley@cahull.com,,"8177 GOLDIE RD WALLED LAKE, MI 48390",MIKE MALLOURE JEFF BUCKLEY,101,,,83,Not a,Not 100% compliant
272986,K-FIVE CONSTRUCTION CORPORATION,AUTHORIZED FOR PROPERTY,,Carrier,Intrastate Hazmat,Authorized For Hire Private Property Private Passengers (Non-business),MC180897,89820161,,03/04/2020,"1,100,000 (2019)","999 OAKMONT PLAZA DRIVE WESTMONT, IL 60559",(630) 257-5600,(630) 257-6788,stever@k-five.net,,"999 OAKMONT PLAZA DRIVE WESTMONT, IL 60559",ROBERT KRUG,101,,,87,Not a,Not 100% compliant
286610,C W ROBERTS CONTRACTING INC,ACTIVE,CWR CONTRACTING INC,Carrier,Interstate,Private Property,,94593589,,01/21/2020,"5,257,306 (2019)","22574 NE STATE ROAD 20 HOSFORD, FL 32334",,(850) 379-8188,acrenshaw@cwrcontracting.com,www.cwrcontracting.com,"P O BOX 188 HOSFORD, FL 32334-0188",ALAN CRESHAW,101,,,100,Not a,Not 100% compliant
350507,SMITH FURNITURE WAREHOUSE,ACTIVE,IVAN SMITH FURNITURE,Carrier,Interstate,Private Property,,,,06/08/2020,"2,750,000 (2019)","5434 TECHNOLOGY DRIVE SHREVEPORT, LA 71129",(318) 683-3274,(858) 764-5406,dharding@ivansmith.com,,"5434 TECHNOLOGY DR SHREVEPORT, LA 71129-2682",IVAN SMITH JR. IVAN SMITH III,101,,,109,Not a,Not 100% compliant
357293,DIVERSIFIED TRANSFER & STORAGE INC,AUTHORIZED FOR PROPERTY,DTS,Carrier,Interstate,Authorized For Hire Exempt For Hire,MC215020,198491490,,05/30/2019,"7,677,396 (2018)","1640 MONAD RD BILLINGS, MT 59101-3200",(406) 896-3431,(406) 896-3492,frankm@dtsb.com,www.dtsb.com,"1640 MONAD RD BILLINGS, MT 59101-3200",A.L. JAY FOLEY MICHAEL ODORE,101,,,104,,100% COMPLIANT
359994,VSS INTERNATIONAL INC,AUTHORIZED FOR PROPERTY,VSS EMULTECH,Carrier Shipper,Interstate,Authorized For Hire Private Property,MC490539,,,06/02/2020,"749,257 (2019)","3785 CHANNEL DRIVE WEST SACRAMENTO, CA 95691",(916) 373-2436,(916) 373-1438,john.deer@slurry.com,www.slurry.com,"PO BOX 981330 WEST SACRAMENTO, CA 95798",JEFFREY R. REED JEFF E. ROBERTS,101,,,129,Not a,Not 100% compliant
366021,JMAC RESOURCES INC,AUTHORIZED FOR PROPERTY,,Carrier Shipper,Interstate,Authorized For Hire Private Property,MC76589,81133621,,02/17/2020,"2,534,810 (2019)","121 48TH AVENUE SW WILLISTON, ND 58801",(701) 774-8511,(701) 774-2015,meghans@jmacresources.com,www.jmacresources.com,"1505 N MILLER ST SUITE 260 WENATCHEE, WA 98801",RICHARD BUNKER JON MCCREARY,101,,,76,Not a,Not 100% compliant
