USDOT,MC,Carrier,Status,Operations,Hazmat
USDOT 883,null,"NORTHWEST PIPE FITTINGS INC RAPID CITY, SD (605) 342-5587", ACTIVE, Interstate, NO
USDOT 1596,null,"FOLTZ LITTER INC MATHIAS, WV (304) 897-5266", ACTIVE, Interstate, NO
USDOT 2340,MC177051,"KORTH TRUCKING INC NORFOLK, NE (402) 371-7741", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 2824,null,"AMERICAN BLOCK COMPANY INC PRINCETON, WV (304) 425-8158", ACTIVE, Interstate, NO
USDOT 4400,null,"CAMPBELL TRACTOR & IMPLEMENT INC (CAMPBELL TRACTOR) NAMPA, ID (208) 466-8414", ACTIVE, Interstate, NO
USDOT 4485,MC722852,"DWAINE LEE LLC (B & W WRECKER SERVICE) BOISE, ID (208) 342-2541", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 4562,null,"MOUNTAIN STATES FENCE CO INC SALT LAKE CITY, UT (801) 261-4224", ACTIVE, Interstate, NO
USDOT 4809,null,"WOOD PRESERVERS INC WARSAW, VA (804) 333-4022", ACTIVE, Interstate, NO
USDOT 5127,null,"LUMBERMEN ASSOCIATES INC BRISTOL, PA (215) 785-4600", ACTIVE, Interstate, NO
USDOT 7532,null,"PARAMOUNT FEED & SUPPLY INC HAGERSTOWN, MD (301) 733-8150", ACTIVE, Interstate, NO
USDOT 7723,null,"J E TANKARD III (THE TANKARD NURSERIES INC) EXMORE, VA (757) 442-6112", ACTIVE, Interstate, NO
USDOT 9347,null,"J D BOUSQUET & SONS INC MANCHAUG, MA", ACTIVE, Interstate, NO
USDOT 10035,MC199852,"P & G MUSHROOM CO INC KENNETT SQUARE, PA (610) 444-1786", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 10090,null,"STANLEY MARVEL INC BENSALEM, PA (215) 638-7800", ACTIVE, Interstate, NO
USDOT 10478,MC376309,"E SCHNEIDER SONS INC ALLENTOWN, PA (610) 435-3527", AUTHORIZED FOR PROPERTY, Interstate, NO
USDOT 14482,null,"SIMON ROOFING & SHEET METAL CORP YOUNGSTOWN, OH (330) 629-7663", ACTIVE, Interstate, NO
USDOT 14847,null,"KELLY MILLER BROS CIRCUS LTD (KELLY MILLER CIRCUS) HUGO, OK", ACTIVE, Interstate, NO
USDOT 15238,null,"MOORE'S TIRE SALES OWEGO, NY (607) 687-3275", ACTIVE, Interstate, NO
