USDOT,Company Name,Operating status,DBA,Entity type,Operations,Classification,Docket #,DUNS #,SCAC,MCS-150 form date,MCS-150 Mileage/Year,Business address,Phone,Fax,Email,Web,Mailing address,Representative,Power units,Autonomous units,Electric units,Drivers,SmartWay,CARB TRU
883,NORTHWEST PIPE FITTINGS INC,ACTIVE,,Carrier,Interstate,Private Property,,7499718,,11/22/2019,"233,290 (2018)","2309 W OMAHA ST RAPID CITY, SD 57702-2462",(605) 342-5587,(605) 342-0673,lblack@northwestpipe.com,www.northwestpipe.com,"P O BOX 920 RAPID CITY, SD 57709-0920",SCOTT BARBOUR DOUG JOHNSON,11,,,7,Not a,Not 100% compliant
1596,FOLTZ LITTER INC,ACTIVE,,Carrier,Interstate,Private Property,,,,04/07/2020,"450,217 (2019)","163 MIDDLE COVE ROAD MATHIAS, WV 26812",(304) 897-5266,,lfoltz@hardynet.com,,"163 MIDDLE COVE ROAD MATHIAS, WV 26812",KEVIN L FOLTZ LORA J FOLTZ,11,,,8,Not a,Not 100% compliant
2340,KORTH TRUCKING INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire Private Property,MC177051,91997437,,11/20/2018,"846,635 (2017)","55403 HIGHWAY 13 NORFOLK, NE 68701",(402) 371-7741,(815) 301-8343,brad@kcgrain.com,,"55403 HIGHWAY 13 NORFOLK, NE 68701",BRAD KORTH,11,,,11,Not a,Not 100% compliant
2824,AMERICAN BLOCK COMPANY INC,ACTIVE,,Carrier,Interstate,Private Property,,5002738,,05/11/2020,"382,000 (2017)","494 COURTHOUSE ROAD PRINCETON, WV 24740",(304) 425-8158,(304) 425-1171,easternvault@frontiernet.net,,"494 COURTHOUSE ROAD PRINCETON, WV 24740",BRIAN STRUBLE BRIAN P. STRUBLE,11,,,7,Not a,Not 100% compliant
4400,CAMPBELL TRACTOR & IMPLEMENT INC,ACTIVE,CAMPBELL TRACTOR,Carrier,Interstate,Private Property,,33982703,,02/17/2020,"190,029 (2018)","2014 N FRANKLIN BLVD NAMPA, ID 83687",(208) 466-8414,(208) 466-0414,lbasley@campbelltractor.com,www.campbelltractor.com,"2014 N FRANKLIN BLVD NAMPA, ID 83687",DAN W CAMPBELL,11,,,9,Not a,Not 100% compliant
4485,DWAINE LEE LLC,AUTHORIZED FOR PROPERTY,B & W WRECKER SERVICE,Carrier,Interstate,Authorized For Hire,MC722852,62526954,,07/07/2020,"276,287 (2018)","20 S GARDEN BOISE, ID 83705",(208) 342-2541,(208) 343-6247,dwaine@bwwrecker.com,www.bwwrecker.com,"20 S GARDEN BOISE, ID 83705",DWAIN LEE,11,,,7,Not a,Not 100% compliant
4562,MOUNTAIN STATES FENCE CO INC,ACTIVE,,Carrier,Interstate,Private Property,,42833004,,01/27/2020,"129,762 (2019)","3737 SOUTH 500 WEST SALT LAKE CITY, UT 84115",(801) 261-4224,(801) 261-4509,jenkit@msfence.com,www.msfence.com,"3737 SOUTH 500 WEST SALT LAKE CITY, UT 84115",RICK D HIGGINS JENKIT KOBSUK,11,,,11,Not a,Not 100% compliant
4809,WOOD PRESERVERS INC,ACTIVE,,Carrier,Interstate,Private Property,,3113750,,07/23/2018,"801,790 (2015)","15939 HISTORY LAND HIGHWAY WARSAW, VA 22572",(804) 333-4022,(804) 333-9269,mwright@woodpreservers.com,www.woodpreservers.com,"P O BOX 158 WARSAW, VA 22572-0158",MORGAN WRIGHT MORGAN WRIGHT,11,,,9,Not a,Not 100% compliant
5127,LUMBERMEN ASSOCIATES INC,ACTIVE,,Carrier,Interstate,Private Property Indian Tribe LUMBER,,,,09/11/2018,"815,000 (2017)","2101 HUNTER ROAD BRISTOL, PA 19007",(215) 785-4600,(215) 785-5645,brian@lumbermenassoc.com,www.lumbermenassoc.com,"PO BOX 720 BRISTOL, PA 19007-0720",BRIAN R CASSEL,11,,,11,Not a,Not 100% compliant
7532,PARAMOUNT FEED & SUPPLY INC,ACTIVE,,Carrier,Interstate,Private Property,,22607865,,02/13/2019,"146,442 (2018)","19310 LONGMEADOW RD HAGERSTOWN, MD 21742",(301) 733-8150,(301) 790-2468,paramountfeed@ibyfox.com,,"19310 LONGMEADOW RD HAGERSTOWN, MD 21742",JAMES MARTIN DARREL MARTIN,11,,,9,Not a,Not 100% compliant
7723,J E TANKARD III,ACTIVE,THE TANKARD NURSERIES INC,Carrier,Interstate,Private Property,,,,02/19/2020,"145,356 (2020)","5002 LANKFORD HWY EXMORE, VA 23350",(757) 442-6112,(757) 442-5372,michelle@tankardnurseries.com,,"PO BOX 649 EXMORE, VA 23350",JOHN E TANKARD III,11,,,2,Not a,Not 100% compliant
9347,J D BOUSQUET & SONS INC,ACTIVE,,Carrier,Interstate,Private Property,,19468586,,05/19/2020,"16,403 (2005)","37 MAIN ST MANCHAUG, MA 01526",,(508) 476-9283,,,"P O BOX 309 MANCHAUG, MA 01526",THEODORE J BOUSQUET CHRISTOPHER BOUSQUET,11,,,3,Not a,Not 100% compliant
10035,P & G MUSHROOM CO INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC199852,73743445,,01/15/2019,"450,000 (2018)","1011 KAOLIN RD KENNETT SQUARE, PA 19348-2605",(610) 444-1786,(610) 444-4275,tcullen@phillipsmushroomfarms.com,,"P O BOX 190 KENNETT SQUARE, PA 19348-0190",DONALD P. PHILLIPS R. MARSHALL PHILLIPS,11,,,8,Not a,Not 100% compliant
10090,STANLEY MARVEL INC,ACTIVE,,Carrier,Interstate,Private Property,,2598589,,08/05/2019,"297,000 (2018)","1221 FORD RD BENSALEM, PA 19020-4518",(215) 638-7800,(215) 638-9033,bthorp@stanleymarvel.com,www.stanleymarvel.com,"1221 FORD RD BENSALEM, PA 19020-4518","STANLEY W. MARVEL III, PRESIDENT FREDERICK T. MALONEY, VICE PRESIDENT",11,,,11,Not a,Not 100% compliant
10478,E SCHNEIDER SONS INC,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC376309,,,05/20/2020,"330,181 (2019)","616-656 SUMNER AVENUE ALLENTOWN, PA 18102",(610) 435-3527,(610) 770-9437,eschneider@fast.net,,"P O BOX 908 ALLENTOWN, PA 18105",JOHN E. SCHNEIDER,11,,,9,Not a,Not 100% compliant
14482,SIMON ROOFING & SHEET METAL CORP,ACTIVE,,Carrier,Interstate,Private Property,,113033765,,02/10/2020,"90,000 (2019)","70 KARAGO AVE YOUNGSTOWN, OH 44512",(330) 629-7663,(330) 629-7399,cpalm@simonroofing.com,www.simonroofing.com,"70 KARAGO AVE YOUNGSTOWN, OH 44512",ROCCO AUGSTINE,11,,,11,Not a,Not 100% compliant
14847,KELLY MILLER BROS CIRCUS LTD,ACTIVE,KELLY MILLER CIRCUS,Carrier,Interstate,Private Property,,146511449,,07/31/2018,"3,381 (2017)","2581 E 2070 ROAD HUGO, OK 74743",,,,,"PO BOX 829 HUGO, OK 74743",,11,,,12,Not a,Not 100% compliant
14866,LEDWELL & SON ENTERPRISES INC,ACTIVE,,Carrier Cargo Tank,Interstate,Private Property,,8053027,,11/11/2019,"288,792 (2017)","3300 WACO STREET TEXARKANA, TX 75501",(903) 838-6531,(903) 831-2719,jself@ledwell.com,www.ledwell.com,"P O BOX 1106 TEXARKANA, TX 75504-1106",JOHN SELF STEVE LEDWELL,11,,,13,Not a,Not 100% compliant
15238,MOORE'S TIRE SALES,ACTIVE,,Carrier,Interstate,Private Property,,12803532,,07/03/2019,"420,000 (2018)","1436 TAYLOR ROAD OWEGO, NY 13827",(607) 687-3275,(607) 687-9548,bill@moorestiresales.com,www.moorestiresales.com,"PO BOX 449 OWEGO, NY 13827",WILLIAM WATKINS,11,,,11,Not a,Not 100% compliant
15282,OLUMS OF BINGHAMTON INCORPORATED,ACTIVE,,Carrier,Interstate,Private Property,,8915076,,01/23/2020,"350,000 (2019)","3701 VESTAL PARKWAY EAST VESTAL, NY 13850",(607) 729-5775,(607) 729-6166,info@olums.com,,"3701 VESTAL PARKWAY EAST VESTAL, NY 13850",KEITH SOLOMON RICK URBAN,11,,,15,Not a,Not 100% compliant
18148,LICTUS KEYSTONE INC,ACTIVE,,Carrier,Interstate,Private Property,,13471776,,08/16/2018,"226,000 (2017)","8799 W MAIN ST CLYMER, NY 14724",(716) 355-6363,,lictuskeystone@worldconnx.net,,"P O BOX 82 CLYMER, NY 14724",JAMES D LICTUS DENNIS HINSDALE,11,,,16,Not a,Not 100% compliant
18705,PRODUITS DE CIMENT COUILLARD LTEE,ACTIVE,,Carrier,Interstate,Private Property,,,,05/27/2020,"350,859 (2019)","340 RUE MERRILL COATICOOK, PQ J1A 1X4",(819) 849-2778,(819) 849-9497,mcgagnon@carrieresstdo.com,,"340 RUE MERRILL COATICOOK, PQ J1A 1X4",JACQUES SYLVESTRE CLAUDE SYLVESTRE,11,,,11,Not a,Not 100% compliant
19593,AMF TRUCKING AND WAREHOUSING INC,AUTHORIZED FOR PROPERTY,SEA JET TRUCKING & APA WAREHOUSES,Carrier,Interstate,Authorized For Hire,MC138715,362228744,,06/04/2019,"101,255 (2018)","35 BRUNSWICK AVENUE EDISON, NJ 08817",(732) 541-4800,(732) 541-4414,erika@sea-jet.com,,"35 BRUNSWICK AVENUE EDISON, NJ 08817",ERIKA ESPINDOLA MEYER GROSS,11,,,14,Not a,Not 100% compliant
19615,SELECTIVE TRANSPORTATION CORPORATION,AUTHORIZED FOR PROPERTY,,Carrier,Interstate,Authorized For Hire,MC1305,808903017,,02/06/2019,"800,000 (2018)","20-30 CORPORATION ROW EDISON, NJ 08817",(732) 738-6900,(732) 650-1274,,,"516 SYLVAN AVE ENGLEWOOD CLIFFS, NJ 07632",PATRICK HILL,11,,,9,Not a,Not 100% compliant
19631,H L FUEL COMPANY INC,ACTIVE,,Carrier,Interstate,Authorized For Hire,,155321896,,05/31/2019,"110,000 (2018)","1232 ROUTE 20 WEST LEBANON, NY 12195-0098",(518) 794-9066,(518) 794-8222,harry@hlfuel.com,,"P O BOX 98 WEST LEBANON, NY 12195-0098",HARRY R HICKS,11,,,8,Not a,Not 100% compliant
20103,MEGABUS WEST LLC,AUTHORIZED FOR PASSENGER,MEGABUSCOM,Carrier,Interstate,Authorized For Hire,MC29592,461948840,,03/18/2020,"2,696,173 (2015)","2001 SOUTH MANCHESTER AVENUE ANAHEIM, CA 92802",(714) 507-3100,(714) 507-1132,larry.tonks@coachusa.com,,"2001 SOUTH MANCHESTER AVENUE ANAHEIM, CA 92802",LARRY TONKS AARON GONZALES,11,,,27,Not a,Not 100% compliant
20466,MCLEAN THOMAS INC,ACTIVE,MCLEAN-THOMAS INC,Carrier,Intrastate Non-Hazmat,Private Property,,002131126,,06/10/2004,"200,000 (2003)","266 BROADWAY BUFFALO, NY 14204",(716) 852-2531,(716) 852-1957,jim_mclean@mcleanthomas.com,,"266 BROADWAY BUFFALO, NY 14204",JAMES A MCLEAN DAVID E SLOMA,11,,,13,Not a,Not 100% compliant
21109,GREGERSON SALVAGE INC,ACTIVE,,Carrier,Interstate,Private Property,,62837307,,01/02/2020,"80,000 (2018)","318 WEST RAILWAY AVE WAUBAY, SD 57273",(605) 947-4888,(605) 947-4899,rbreske@gregersonsalvage.com,,"318 WEST RAILWAY AVE WAUBAY, SD 57273",RYAN R BRESKE COLLIN GREGERSON,11,,,10,Not a,Not 100% compliant
21993,M P BARRETT TRUCKING INC,AUTHORIZED FOR PROPERTY,,Carrier Broker,Interstate,Authorized For Hire,MC166016,605828219,,01/21/2020,"1,084,842 (2019)","28447 103RD ST PIERZ, MN 56364",(320) 468-2787,(320) 468-2898,mpbarretttrucking@gmail.com,,"PO BOX 627 BUCKMAN, MN 56317",BRENT SCHOLL CHRIS SCHOLL,11,,,9,Not a,Not 100% compliant
22193,DYNAMIC HOMES LLC,ACTIVE,,Carrier,Interstate,Private Property,,51447670,,04/12/2019,"161,864 (2018)","525 ROOSEVELT AVE DETROIT LAKES, MN 56501-2826",(218) 847-2611,(218) 847-2617,pauln@dynamichomes.com,,"P O BOX 1137 DETROIT LAKES, MN 56502-1137",PAUL OKESON PAUL E NORD,11,,,8,Not a,Not 100% compliant
22621,ROLLING ROCK BUILDING STONE INC,ACTIVE,,Carrier,Interstate,Private Property,,71207393,,01/03/2020,"131,813 (2019)","40 ROLLING ROCK ROAD BOYERTOWN, PA 19512",(610) 987-4042,(610) 987-4049,gweller@rollrock.com,,"40 ROLLING ROCK ROAD BOYERTOWN, PA 19512",GARY WELLER KIM WELLER,11,,,11,Not a,Not 100% compliant
